index,audio_path,ground_truth,whisper_transcription
0,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/017_╨₧╤ü_╨╗╨░╨╕╠å_╨┐╨╛╤é╤ï╤Ç╤é╤ì_╨╜_.wav,"os, laj, potirtēn.",osλa i potərti ăn
1,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/044_╨£╨░╨╜╤ï╤Ç_╨▓╨░_╤Ç╤â_╨║╨▓_╤é╨░_╨╜_.wav,manər wāruŋkw tān xā­sē­ɣət.,măňr warum tăn χăsa
2,data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/015_╨»╨╜╤ï╨│_╨╛_╨┐╨░╨╝_╨£╨░_╨╜╤î╤Å_╨Æ╨░.wav,janəɣ ōpam mān'ja wan'ka mos' lōŋxal'nuw l'ujūl'ja wātat ōlmiɣtas.,jan i opəm man'ew ăňka moś λoŋχaλ' nuλ λʉλjaw watət oλ mətəs
3,data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/011_╨ó╤ï_╨╛╨╝╨░╨╝_╤é╨░╨▓_╨╛_╨┐╨░╤é╤ì_╨ƒ.wav,"ti omam taw ōpate. p'eēs porat, janəɣ xōnt ēli-pālt.",ti oməm tăw owa pătta wɛs purăt janij χujanət ɛλi păλt
4,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/016_╨¥_╤é╨╜╤ì╨│_╨║╨╛╨╗╨╛╨╜╨╜╨░_╤ë╨╕╤Ç╤ï╨╗.wav,n'ojōtneɣ kolonna s''irəl l'ujūl'sət.,ӛsət ńotnijkaλ ăna śirəλ λʉwλsăt
5,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/031_╨ó╤ï_╤Å╨╜╤ï╨│_╤à╨╛_╨╜╤é_╤Å╨╗╨┐╤ï_╤à.wav,ti janəɣ xōnt jalpəŋ xōtale māk janəɣ s'āɣti­ləŋ xōtaləɣ ōləs.,ti nԑňχot λpʉň χotali măk ňśajtijλeŋ χotali oλăs
6,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/056__╨╗_╨░╤é_╨┐╨░╤é╤ì_╨│╤ï╤é_.wav,jol at patēɣət!,jol at păt eλt
7,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/029_╨£╨░╤Ç╨╕╤Å_╨ó╨╕╤à╨╛╨╜╨╛╨▓╨╜╨░_╨░╤ë╨╛_.wav,mar'ija t'ixonowna as'ōjkate t'imoф'eej konstant'inow'əч ost'eerow.,marija tiχănawna aśăjkăti tmafij kantsijinovich
8,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/011_╨₧╤ü_╨┐╨░_╨▓╤ï╨╗╨║╨░╨╜_╨║╨╛╤é╨╕╨╗╤î╨╜.wav,os pāwilkan kot'il'n joxtinēɣ l'ojōx xosət lāɣləl jōmsət.,os pa­wla­kan kətjλn joχ­tnij λjoχ χəsit λajduλ jomsăt
9,data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/019_╨»╨╜╤ï╨│_╨╛_╨┐╨░╨╝_╨╛╤ü_╤Å╨╜╤ï╨│_╤ë.wav,"janəɣ ōpam os janəɣ s'as''eēkwam mos' lōŋxal'nuw ōlsəɣ, tēn ōs sulkolt ōlsə̄ɣ.",jani opəməs jănaj śaśkwam moś λăň χăλ'nʉλ oλ­sij tԑm os suwkəλt oλsij
10,data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/009_╨ó╨░╨▓_╨╜╨░╨╝╨╡_╨ÿ╨▓╨░╨╜_╨ñ╨╕╨╗╨╕╨┐╨┐.wav,taw nam'ee iwan ф'il'ippow'əч t'ixonow ōləs.,tăw nԑmi iwan filipowicz tiχanaw oλăs
