index,audio_path,ground_truth,whisper_transcription
0,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/017_╨₧╤ü_╨╗╨░╨╕╠å_╨┐╨╛╤é╤ï╤Ç╤é╤ì_╨╜_.wav,"Ос, лай, потыртэ̄н.",Os laip otrtejant.
1,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/044_╨£╨░╨╜╤ï╤Ç_╨▓╨░_╤Ç╤â_╨║╨▓_╤é╨░_╨╜_.wav,Маныр ва̄руӈкв та̄н ха̄­сэ̄­гыт.,من روارك تانحاسي
2,data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/015_╨»╨╜╤ï╨│_╨╛_╨┐╨░╨╝_╨£╨░_╨╜╤î╤Å_╨Æ╨░.wav,Яныг о̄пам Ма̄нья Ванька мощ ло̄ӈхальнув Лю̄лья ва̄тат о̄лмыгтас.,"Ję neopam, main je vanką, mus longal nu. Lūljię vatat, ol mytas."
3,data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/011_╨ó╤ï_╨╛╨╝╨░╨╝_╤é╨░╨▓_╨╛_╨┐╨░╤é╤ì_╨ƒ.wav,"Ты омам тав о̄патэ. Пе̄с порат, яныг хо̄нт э̄лы-па̄лт.",Tī omam tav apate. Piespūrad jani hoantejālipālt.
4,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/016_╨¥_╤é╨╜╤ì╨│_╨║╨╛╨╗╨╛╨╜╨╜╨░_╤ë╨╕╤Ç╤ï╨╗.wav,Нё̄тнэг колонна щирыл лю̄льсыт.,"Nėk, nes ir įluysi."
5,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/031_╨ó╤ï_╤Å╨╜╤ï╨│_╤à╨╛_╨╜╤é_╤Å╨╗╨┐╤ï_╤à.wav,Ты яныг хо̄нт ялпыӈ хо̄талэ ма̄к яныг ща̄гты­лыӈ хо̄талыг о̄лыс. ,Dėjane hotalai mak jau nečiai dėlinghotalai aulas.
6,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/056__╨╗_╨░╤é_╨┐╨░╤é╤ì_╨│╤ï╤é_.wav,Ёл ат патэ̄гыт!,"Thank you a lot, Pate."
7,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/029_╨£╨░╤Ç╨╕╤Å_╨ó╨╕╤à╨╛╨╜╨╛╨▓╨╜╨░_╨░╤ë╨╛_.wav,Мария Тихоновна ащо̄йкатэ Тимофей Константинович Остеров.,maryaikii hanao naaishoikate timafei kan satinuwich osti.
8,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/011_╨₧╤ü_╨┐╨░_╨▓╤ï╨╗╨║╨░╨╜_╨║╨╛╤é╨╕╨╗╤î╨╜.wav,Ос па̄вылкан котильн ёхтынэ̄г лё̄х хосыт ла̄глыл ё̄мсыт.,Ospaulkant ko tín jortu neiljoch osiplaevuljomset.
9,data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/019_╨»╨╜╤ï╨│_╨╛_╨┐╨░╨╝_╨╛╤ü_╤Å╨╜╤ï╨│_╤ë.wav,"Яныг о̄пам ос яныг щаще̄квам мощ ло̄ӈхальнув о̄лсыг, тэ̄н о̄с сулколт о̄лсы̄г.","Jenei o, pamus jane išiešiekvam, moši longal nulolsi. Tėm os sukultolsi."
10,data/AudioCorpus/Recordings/mns_91031035-59b1-4d78-9035-bc14e6303c06/009_╨ó╨░╨▓_╨╜╨░╨╝╨╡_╨ÿ╨▓╨░╨╜_╨ñ╨╕╨╗╨╕╨┐╨┐.wav,Тав наме Иван Филиппович Тихонов о̄лыс.,Товнами Иван Филиппович Тихонов олоз.
11,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/036_╨ó╨╛╤à_╤é╤ï_╤é╨░╨║╨▓╨╕_╤â╤Ç╨╡_╤é╤ï╨╗.wav,Тох ты такви уре̄­тыл тав хансыгла̄лас.,"wau, tu mtahti taki uriatotau hansi laala."
12,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/053_╨Ñ╤â╨╝╤ï╤ç_╤é╨░_╨╜╨║╨╕_╨╜╨╛╨╝╤ü╨░╤ü╤ï.wav,"Хумыч та̄нки номсасыт, тащир вос по̄сласыт.",Humustāntki nums aset teširvas poslasat.
13,data/AudioCorpus/Recordings/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/022_╨É╨╜╤î_╨╝╨░_╨╜╤î_╨╝╨╕╤ü╤à╤â╨╝_╤é╨░_.wav,"Ань ма̄нь мисхум та ня̄нь тэ̄м, та̄ра таквитэ та мостумтэ.",Aįmāņi mischumtaņa į aŽintai amtāratā kvidėtā mostumti.
14,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/011_╨í╨░_╤é_╤à╤â╨╝_.wav,Са̄т хум.,Saatrum.
15,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/002_╨»╨╜╤ï╨│_╤à╨╛_╨╜╤é_╨▓╨░_╤Ç╨╝╨░╨╗╤î_.wav,Яныг хо̄нт ва̄рмаль оигпаме па̄сыл нёлса̄т та̄лыг е̄мтыс.,Ja ne hont varma joi pampaslon jossat talujen.
16,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/077_╨ó╨╛_╨▓╨░_╨┐╨╛╤Ç╨░╤é_╨▒╤Ç╨░╤é╤ü╨║╨╕╨╕╠å.wav,То̄ва порат братский могилатын е̄мтэ̄гыт.,Това порад працький могілат на ЄМТ.
17,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/033_╨₧╤ü_╨Ü╨í╨Ü_╨║╨╛╨╗╤é_╤Ç╤â_╨┐╨╕╤é╨░╨╜.wav,Ос КСК колт рӯпитан ма̄хмытын ла̄вуӈкв э̄ри.,Es kākaltru pitan mahmatnā vūk eegu.
18,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/094_╨ó╤ï_╤é╤â╨╝╨┐╨░╨╜╤ï╨╗╨╜╤ï╨╗_╤ü╨░_╨╗╤é.wav,Ты тумпанылныл са̄лтатыт Ленинград ӯсаныл вуянтасыт.,"Tik tumpan nilnulsautat, atlegingrat osanului amtas."
19,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/058_╨Ü╨╛╨╜╤ü╤é╨░╨╜╤é╨╕╨╜_╨ƒ╨░╨╜╨║╨╛╨▓_╤ü╨░.wav,"Константин Панков са̄в по̄слыс, тав по̄слыгла̄лам.","Kas tad jint pankov sauv poslas, tauv poslas į laalam."
20,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/006_╨¥_╤Ç_╨É╨║╨╕_╤é╨░╨▓_╤é╨░╨╕╠å_╤ü╨░╨╝╨╡.wav,"Нё̄р-Аки тав тай саме посыӈ, хум ань сунсыг­лахты.",joo raaki tautei sami po senk huma ni sun tsilakh
21,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/029_╨£╨╛_╤Ç╤ü╤ï_╤ï╨│_╨▓╨╛_╤Ç╨╜_╤Å╨╗╨░╨╜.wav,Мо̄рсыӈыг во̄рн ялантаӈкв патыс. ,Mossa nui vuorna jalan tahpaa tasa.
